Old,New,C_cng,Count,all_examples
*r,r³,*r>r³, 19,"*ń¨rɜ>nyír, *oćtɜrɜ>ostor, *purɜ>far, *arɜ >ara, *arɜ >iránt, *äppɜrɜkɜ>epër, *ϑarańa>arany, *ϑarɜ>ár, *eŋkɜrɜ>ígér, *j¨kkɜrɜ>gyökér, *märɜ>mer, *märɜ>mer, *merɜ  >mered, *mȣrɜ>marok, *ńärɜ>nyer, *sȣrɜ>szár, *tärɜ>tér, *turɜ>torok, *warɜ>vár, "
*p,f¹,*p>f¹, 19,"*palγɜ>falu, *päčɜ>fesl, *purɜ>far, *puśɜ>foszl, *pȣtɜ>fáz, *päkkɜ>fék, *pejɜ>fejt, *pekkɜ>fekély, *pentɜlɜ>födél, *pičɜ  >füst, *pilɜ>fűl, *pimɜ>fű, *pukkɜ>fok, *pulɜ>fulánk, *puŋɜ>fog, *pȣγrɜ>fárad, *pȣlɜ>foly, *pȣĺćɜ>faggyú, *p¨kkɜttɜ>fekete, "
*0,0¹,*0>0¹, 17,"*oćtɜrɜ>ostor, *aktɜ>utál, *alama  >alom, *alɜ >olt, *ańćɜ>ágyék, *arɜ >ara, *arɜ >iránt, *äjɜ>i, *älɜ >Erdély, *ämpɜ  >ëb, *äppɜrɜkɜ>epër, *ättɜ  >edz, *eŋkɜrɜ>ígér, *iśɜ  >üsző, *itɜ>űz, *oŋtɜ >oldal, *ȣjɜ>ajtó, "
*k,h¹,*k>h¹, 14,"*kaŋɜ>hág, *kuδ'mɜ>hamu, *kuntalɜ>hall, *kaćɜ>hasad, *kajɜ>haj, *kajɜ>hajol, *karɜ>harkály, *katɜ>híz, *kottɜŋɜ>hattyú, *kućɜ>hoz, *kuδ'ɜ >hagyap, *kumtɜ  >hód, *kupɜtɜ>húz, *kȣńćɜ>hagy, "
*m,m¹,*m>m¹, 13,"*malkɜ>malát, *mańćɜ>magyar, *mańćɜ>mese, *marɜ>márt, *mälɜ>meleg, *märɜ>mer, *märɜ>mer, *mećɜ>meztelen, *melɜ>mély, *menɜ>mënyül, *merɜ  >mered, *mȣrɜ>marok, *m¨lɜ>méltó, "
*k,k¹,*k>k¹, 9,"*k¨śɜ>küzd, *käńćɜ>keshed, *kećɜ>kísér, *ki >ki, *k¨ćɜ >kesered, *k¨lɜ >köles, *k¨ntɜ>kedv, *k¨nɜ>könnyű, *k¨sɜ>köszörül, "
*0,l³,*0>l³, 9,"*l¨pɜ>levél, *aktɜ>utál, *ćukkɜ >csókol, *kajɜ>hajol, *k¨sɜ>köszörül, *mećɜ>meztelen, *menɜ>mënyül, *oŋtɜ >oldal, *sȣjɜ >szédül, "
*l,l³,*l>l³, 9,"*alama  >alom, *k¨lɜ >köles, *mälɜ>meleg, *pentɜlɜ>födél, *pilɜ>fűl, *pulɜ>fulánk, *selɜ>szél, *silɜ>szül, *talɜ>tál, "
*kk,k³,*kk>k³, 9,"*ćukkɜ >csókol, *ϑȣkkɜ>akad, *jȣkkɜ>gyak, *j¨kkɜrɜ>gyökér, *päkkɜ>fék, *pekkɜ>fekély, *pukkɜ>fok, *p¨kkɜttɜ>fekete, *täkkɜ>tekint, "
*s,s¹,*s>s¹, 9,"*sawɜ>szó, *säγɜrɜ>szőr, *selɜ>szél, *seŋkɜ>szëg, *silɜ>szül, *sȣjɜ >szédül, *sȣlkɜ  >szalu, *sȣŋɜ>száguld, *sȣrɜ>szár, "
*t,t¹,*t>t¹, 9,"*tajɜttɜ>titok, *talɜ>tál, *täkkɜ>tekint, *täŋɜtɜ>tegëz, *tärɜ>tér, *tepɜ>téved, *tultɜ>táltos, *turɜ>torok, *tüγɜtɜ>tűz, "
*0,d³,*0>d³, 8,"*čeppɜ>süpped, *ϑȣkkɜ>akad, *kaćɜ>hasad, *käńćɜ>keshed, *k¨ćɜ >kesered, *merɜ  >mered, *pȣγrɜ>fárad, *tepɜ>téved, "
*ŋ,ɡ³,*ŋ>ɡ³, 6,"*kaŋɜ>hág, *waŋɜ>vág, *puŋɜ>fog, *suŋɜ>zug, *sȣŋɜ>száguld, *täŋɜtɜ>tegëz, "
*j,j¹,*j>j¹, 5,"*j¨ŋɜ>jöv, *jomɜ  >jó, *ju>joh, *juktɜ>jut, *jȣttɜ>ját, "
*t,z³,*t>z³, 5,"*pȣtɜ>fáz, *itɜ>űz, *j¨tɜ>íz, *katɜ>híz, *täŋɜtɜ>tegëz, "
*0,k³,*0>k³, 5,"*śakkɜ >szaka, *śaĺɜ>száldok, *ańćɜ>ágyék, *mȣrɜ>marok, *turɜ>torok, "
*θ,0¹,*θ>0¹, 5,"*ϑarańa>arany, *ϑarɜ>ár, *ϑasɜ>asz, *ϑȣćɜ>áz, *ϑȣkkɜ>akad, "
*t͡ʃʲ,ʃ³,*t͡ʃʲ>ʃ³, 5,"*kaćɜ>hasad, *kećɜ>kísér, *k¨ćɜ >kesered, *läćɜ>les, *w¨ćɜ>vese, "
*t͡ʃ,ʃ¹,*t͡ʃ>ʃ¹, 4,"*čawɜ>savanyú, *čeppɜ>süpped, *čettɜ>sötét, *čittɜ>süt, "
*tt,t³,*tt>t³, 4,"*čettɜ>sötét, *čittɜ>süt, *jȣttɜ>ját, *p¨kkɜttɜ>fekete, "
*0,r³,*0>r³, 4,"*kećɜ>kísér, *k¨ćɜ >kesered, *k¨sɜ>köszörül, *mańćɜ>magyar, "
*l,l¹,*l>l¹, 3,"*l¨pɜ>levél, *läćɜ>les, *luwɜ >ló, "
*nʲ,ɲ¹,*nʲ>ɲ¹, 3,"*ń¨rɜ>nyír, *ńalɜ>nyolc, *ńärɜ>nyer, "
*r,r¹,*r>r¹, 3,"*reŋɜ >rejt, *raŋɜ>rá, *rȣkkɜ>rokkan, "
*β,v¹,*β>v¹, 3,"*waŋɜ>vág, *warɜ>vár, *w¨ćɜ>vese, "
*nʲt͡ʃʲ,ɟ³,*nʲt͡ʃʲ>ɟ³, 3,"*ańćɜ>ágyék, *kȣńćɜ>hagy, *mańćɜ>magyar, "
*0,j³,*0>j³, 3,"*älɜ >Erdély, *karɜ>harkály, *pekkɜ>fekély, "
*0,t³,*0>t³, 3,"*čettɜ>sötét, *malkɜ>malát, *m¨kɜ  >nevet, "
*j,ɟ¹,*j>ɟ¹, 3,"*jȣkkɜ>gyak, *jȣrɜ>gyalu, *j¨kkɜrɜ>gyökér, "
*p,v³,*p>v³, 2,"*l¨pɜ>levél, *tepɜ>téved, "
*kt,t³,*kt>t³, 2,"*aktɜ>utál, *juktɜ>jut, "
*l,lt³,*l>lt³, 2,"*alɜ >olt, *m¨lɜ>méltó, "
*0,nt³,*0>nt³, 2,"*arɜ >iránt, *täkkɜ>tekint, "
*mp,b³,*mp>b³, 2,"*ämpɜ  >ëb, *tȣmpɜ>dob, "
*s,s³,*s>s³, 2,"*ϑasɜ>asz, *k¨sɜ>köszörül, "
*t͡ʃʲ,z³,*t͡ʃʲ>z³, 2,"*ϑȣćɜ>áz, *kućɜ>hoz, "
*ŋk,ɡ³,*ŋk>ɡ³, 2,"*eŋkɜrɜ>ígér, *seŋkɜ>szëg, "
*m,0³,*m>0³, 2,"*jomɜ  >jó, *pimɜ>fű, "
*j,j³,*j>j³, 2,"*kajɜ>haj, *kajɜ>hajol, "
*ŋ,0³,*ŋ>0³, 2,"*kottɜŋɜ>hattyú, *raŋɜ>rá, "
*t,0³,*t>0³, 2,"*kupɜtɜ>húz, *tüγɜtɜ>tűz, "
*0,ʃ³,*0>ʃ³, 2,"*k¨lɜ >köles, *tultɜ>táltos, "
*β,0³,*β>0³, 2,"*luwɜ >ló, *sawɜ>szó, "
*lk,l³,*lk>l³, 2,"*malkɜ>malát, *sȣlkɜ  >szalu, "
*0,ɡ³,*0>ɡ³, 2,"*mälɜ>meleg, *närkɜ>nyerëg, "
*0,n³,*0>n³, 2,"*mećɜ>meztelen, *rȣkkɜ>rokkan, "
*l,j³,*l>j³, 2,"*melɜ>mély, *pȣlɜ>foly, "
*n,ɲ¹,*n>ɲ¹, 2,"*näkɜ  >nyék, *närkɜ>nyerëg, "
*j,jt³,*j>jt³, 2,"*pejɜ>fejt, *ȣjɜ>ajtó, "
*t,d¹,*t>d¹, 2,"*tȣmpɜ>domb, *tȣmpɜ>dob, "
*β,v³,*β>v³, 1,"*čawɜ>savanyú, "
*0,ɲ³,*0>ɲ³, 1,"*čawɜ>savanyú, "
*ŋ,v³,*ŋ>v³, 1,"*j¨ŋɜ>jöv, "
*ðʲm,m³,*ðʲm>m³, 1,"*kuδ'mɜ>hamu, "
*nt,ll³,*nt>ll³, 1,"*kuntalɜ>hall, "
*l,0³,*l>0³, 1,"*kuntalɜ>hall, "
*ʃʲ,zd³,*ʃʲ>zd³, 1,"*k¨śɜ>küzd, "
*t͡ʃʲt,ʃt³,*t͡ʃʲt>ʃt³, 1,"*oćtɜrɜ>ostor, "
*lɣ,l³,*lɣ>l³, 1,"*palγɜ>falu, "
*t͡ʃ,ʃl³,*t͡ʃ>ʃl³, 1,"*päčɜ>fesl, "
*ʃʲ,sl³,*ʃʲ>sl³, 1,"*puśɜ>foszl, "
*ŋ,jt³,*ŋ>jt³, 1,"*reŋɜ >rejt, "
*ʃʲ,0¹,*ʃʲ>0¹, 1,"*śakkɜ >szaka, "
*kk,js³,*kk>js³, 1,"*śakkɜ >szaka, "
*ʃʲ,s¹,*ʃʲ>s¹, 1,"*śaĺɜ>száldok, "
*lʲ,ld³,*lʲ>ld³, 1,"*śaĺɜ>száldok, "
*m,m³,*m>m³, 1,"*alama  >alom, "
*j,0³,*j>0³, 1,"*äjɜ>i, "
*l,rd³,*l>rd³, 1,"*älɜ >Erdély, "
*pp,p³,*pp>p³, 1,"*äppɜrɜkɜ>epër, "
*k,0³,*k>0³, 1,"*äppɜrɜkɜ>epër, "
*tt,d͡z³,*tt>d͡z³, 1,"*ättɜ  >edz, "
*t͡ʃʲ,t͡ʃ³,*t͡ʃʲ>t͡ʃ³, 1,"*ćukkɜ >csókol, "
*pp,pp³,*pp>pp³, 1,"*čeppɜ>süpped, "
*nʲ,ɲ³,*nʲ>ɲ³, 1,"*ϑarańa>arany, "
*θ,h¹,*θ>h¹, 1,"*ϑäptɜ>hét, "
*pt,t³,*pt>t³, 1,"*ϑäptɜ>hét, "
*ʃʲ,s³,*ʃʲ>s³, 1,"*iśɜ  >üsző, "
*0,h³,*0>h³, 1,"*ju>joh, "
*r,l³,*r>l³, 1,"*jȣrɜ>gyalu, "
*j,0¹,*j>0¹, 1,"*j¨tɜ>íz, "
*r,rk³,*r>rk³, 1,"*karɜ>harkály, "
*nʲt͡ʃʲ,ʃh³,*nʲt͡ʃʲ>ʃh³, 1,"*käńćɜ>keshed, "
*tt,tc³,*tt>tc³, 1,"*kottɜŋɜ>hattyú, "
*ðʲ,ɟ³,*ðʲ>ɟ³, 1,"*kuδ'ɜ >hagyap, "
*0,p³,*0>p³, 1,"*kuδ'ɜ >hagyap, "
*mt,d³,*mt>d³, 1,"*kumtɜ  >hód, "
*p,z³,*p>z³, 1,"*kupɜtɜ>húz, "
*nt,dv³,*nt>dv³, 1,"*k¨ntɜ>kedv, "
*n,nɲ³,*n>nɲ³, 1,"*k¨nɜ>könnyű, "
*nʲt͡ʃʲ,ʃ³,*nʲt͡ʃʲ>ʃ³, 1,"*mańćɜ>mese, "
*r,rt³,*r>rt³, 1,"*marɜ>márt, "
*t͡ʃʲ,zt³,*t͡ʃʲ>zt³, 1,"*mećɜ>meztelen, "
*n,ɲ³,*n>ɲ³, 1,"*menɜ>mënyül, "
*m,n¹,*m>n¹, 1,"*m¨kɜ  >nevet, "
*k,v³,*k>v³, 1,"*m¨kɜ  >nevet, "
*k,k³,*k>k³, 1,"*näkɜ  >nyék, "
*rk,r³,*rk>r³, 1,"*närkɜ>nyerëg, "
*l,lt͡s³,*l>lt͡s³, 1,"*ńalɜ>nyolc, "
*ŋt,ld³,*ŋt>ld³, 1,"*oŋtɜ >oldal, "
*nt,d³,*nt>d³, 1,"*pentɜlɜ>födél, "
*t͡ʃ,ʃt³,*t͡ʃ>ʃt³, 1,"*pičɜ  >füst, "
*0,nk³,*0>nk³, 1,"*pulɜ>fulánk, "
*ɣr,r³,*ɣr>r³, 1,"*pȣγrɜ>fárad, "
*lʲt͡ʃʲ,ɡɟ³,*lʲt͡ʃʲ>ɡɟ³, 1,"*pȣĺćɜ>faggyú, "
*kk,kk³,*kk>kk³, 1,"*rȣkkɜ>rokkan, "
*ɣ,r³,*ɣ>r³, 1,"*säγɜrɜ>szőr, "
*r,0³,*r>0³, 1,"*säγɜrɜ>szőr, "
*s,z¹,*s>z¹, 1,"*suŋɜ>zug, "
*j,d³,*j>d³, 1,"*sȣjɜ >szédül, "
*0,ld³,*0>ld³, 1,"*sȣŋɜ>száguld, "
*j,t³,*j>t³, 1,"*tajɜttɜ>titok, "
*tt,k³,*tt>k³, 1,"*tajɜttɜ>titok, "
*lt,lt³,*lt>lt³, 1,"*tultɜ>táltos, "
*ɣ,z³,*ɣ>z³, 1,"*tüγɜtɜ>tűz, "
*mp,mb³,*mp>mb³, 1,"*tȣmpɜ>domb, "
