New_orth,Old_orth,Lan,New,Old,old_struc
mese,aća,FP,mɛʃɛ,ɑt͡ʃʲɑ,VCV
ágy,aδ̕ɜ,FU,aːɟ,ɑðʲɜ,VCV
al,ala,U,ɒl,ɑlɑ,VCV
áld,alɜ,FU,aːld,ɑlɜ,VCV
ad,amta,FU,ɒd,ɑmtɑ,VCCV
old,aŋa,FU,old,ɑŋɑ,VCV
aj,aŋe,U,ɒj,ɑŋe,VCV
apa,appe,FU,ɒpɒ,ɑppe,VCCV
ár,arwa,FU,aːr,ɑrwɑ,VCCV
árt,arɜ,FU,aːrt,ɑrɜ,VCV
ének,äne,FU,eːnɛk,æne,VCV
ég,äŋɜ,FU,eːɡ,æŋɜ,VCV
szalad,ćaδa,FU,sɒlɒd,t͡ʃʲɑðɑ,CVCV
zaj,ćaka,FU,zɒj,t͡ʃʲɑkɑ,CVCV
szeg,ćäŋkɜ,FU,sɛɡ,t͡ʃʲæŋkɜ,CVCCV
sért,ćärke,FU,ʃeːrt,t͡ʃʲærke,CVCCV
szűr,ćerɜ,FU,syːr,t͡ʃʲerɜ,CVCV
süh,ćiklä,U,ʃyh,t͡ʃʲiklæ,CVCCV
seg,ćiŋkä,FU,ʃɛɡ,t͡ʃʲiŋkæ,CVCCV
csomó,ćolme,FU,t͡ʃomoː,t͡ʃʲolme,CVCCV
csorog,ćorɜ,U,t͡ʃoroɡ,t͡ʃʲorɜ,CVCV
szú,ćuγɜ,FU,suː,t͡ʃʲuɣɜ,CVCV
csupor,ćuppɜ,FU,t͡ʃupor,t͡ʃʲuppɜ,CVCCV
csillog,ćȣlkɜ,FU,t͡ʃilloɡ,t͡ʃʲȣlkɜ,CVCCV
csün,ćȣ̈nɜ,U,t͡ʃyn,t͡ʃʲ¨nɜ,CVCV
sápad,čappɜ,FU,ʃaːpɒd,t͡ʃɑppɜ,CVCCV
savanyú,čawɜ,Ug,ʃɒvɒɲuː,t͡ʃɑwɜ,CVCV
csegely,čeŋkɜ,FU,t͡ʃɛɡɛj,t͡ʃeŋkɜ,CVCCV
siet,čijɜ,FU,ʃiɛt,t͡ʃijɜ,CVCV
sok,čukkɜ,FU,ʃok,t͡ʃukkɜ,CVCCV
sovány,čupa,FU,ʃovaːɲ,t͡ʃupɑ,CVCV
ez,e,U,ɛz,e,V
öcs,ećɜ,FU,øt͡ʃ,et͡ʃʲɜ,VCV
es,ećɜ,U,ɛʃ,et͡ʃʲɜ,VCV
elő,eδe,FU,ɛløː,eðe,VCV
éj,eje,FU,eːj,eje,VCV
él,elä,U,eːl,elæ,VCV
em,emä,U,ɛm,emæ,VCV
ük,ewkkɜ,FU,yk,ewkkɜ,VCCCV
ős,ićä,U,øːʃ,it͡ʃʲæ,VCV
íny,ike,FU,iːɲ,ike,VCV
emlő,ime,U,ɛmløː,ime,VCV
íz,ipɜ,U,iːz,ipɜ,VCV
ër,irkä,FU,er,irkæ,VCCV
iktat,jakka,FU,iktɒt,jɑkkɑ,CVCCV
gyalog,jalka,FU,ɟɒloɡ,jɑlkɑ,CVCCV
jel,jälke,FU,jɛl,jælke,CVCCV
ideg,jänte,U,idɛɡ,jænte,CVCCV
jég,jäŋe,FU,jeːɡ,jæŋe,CVCV
év,jikä,FU,eːv,jikæ,CVCV
jó,joke,U,joː,joke,CVCV
íj,joŋsɜ,U,iːj,joŋsɜ,CVCCV
gyakori,jowkkɜ,FU,ɟɒkori,jowkkɜ,CVCCCV
iv,juγe,FU,iv,juɣe,CVCV
jöv,jȣ̈ŋɜ,Ug,jøv,j¨ŋɜ,CVCV
hős,kaća,U,høːʃ,kɑt͡ʃʲɑ,CVCV
hagy,kaδ̕a,U,hɒɟ,kɑðʲɑ,CVCV
hölgy,kaδ̕wa,FU,hølɟ,kɑðʲwɑ,CVCCV
hajít,kaja,FU,hɒjiːt,kɑjɑ,CVCV
két,kakta,FU,keːt,kɑktɑ,CVCCV
hal,kala,U,hɒl,kɑlɑ,CVCV
háló,kalɜ,U,haːloː,kɑlɜ,CVCV
hál,kalɜ,FU,haːl,kɑlɜ,CVCV
hályog,kaĺwɜ,FU,haːjoɡ,kɑlʲwɜ,CVCCV
háml,kama,U,haːml,kɑmɑ,CVCV
hány,kanɜ,FU,haːɲ,kɑnɜ,CVCV
hág,kaŋɜ,Ug,haːɡ,kɑŋɜ,CVCV
hat,kattɜ,U,hɒt,kɑttɜ,CVCCV
kel,kälä,FU,kɛl,kælæ,CVCV
kemény,kämä,FU,kɛmeːɲ,kæmæ,CVCV
kéz,käte,FU,keːz,kæte,CVCV
ki,ke,FU,ki,ke,CV
keszeg,kećä,FU,kɛsɛɡ,ket͡ʃʲæ,CVCV
kengyel,kećɜ,FU,kɛnɟɛl,ket͡ʃʲɜ,CVCV
kécs,kečä,FU,keːt͡ʃ,ket͡ʃæ,CVCV
kés,kečɜ,FU,keːʃ,ket͡ʃɜ,CVCV
kéj,keje,FU,keːj,keje,CVCV
köved,keje,FU,køvɛd,keje,CVCV
këll,kelke,FU,kell,kelke,CVCCV
kevés,kepä,FU,kɛveːʃ,kepæ,CVCV
kerek,kerä,FU,kɛrɛk,keræ,CVCV
kér,kerä,FU,keːr,keræ,CVCV
köré,kere,FU,køreː,kere,CVCV
kérëg,kere,FU,keːreɡ,kere,CVCV
kígyó,kije,U,kiːɟoː,kije,CVCV
követ,kijɜ,FU,køvɛt,kijɜ,CVCV
köd,kintɜ,U,kød,kintɜ,CVCCV
könyök,kińä,FU,køɲøk,kinʲæ,CVCV
könny,kińe,U,kønɲ,kinʲe,CVCV
köt,kitke,FU,køt,kitke,CVCCV
köz,kitɜ,FU,køz,kitɜ,CVCV
kő,kiwe,FU,køː,kiwe,CVCV
hagyma,koćmɜ,FU,hɒɟmɒ,kot͡ʃʲmɜ,CVCCV
héj,koja,FU,heːj,kojɑ,CVCV
hajnal,koje,FU,hɒjnɒl,koje,CVCV
hím,kojmɜ,U,hiːm,kojmɜ,CVCCV
here,kojra,U,hɛrɛ,kojrɑ,CVCCV
hal,kola,U,hɒl,kolɑ,CVCV
három,kolme,FU,haːrom,kolme,CVCCV
halok,kolɜ,FU,hɒlok,kolɜ,CVCV
hón,konɜ,FU,hoːn,konɜ,CVCV
hanyatt,konɜCx,FU,hɒɲɒtt,konɜcx,CVCVCC
hárs,końćkɜ,FU,haːrʃ,konʲt͡ʃʲkɜ,CVCCCV
hosszú,końćɜ,U,hoʃsuː,konʲt͡ʃʲɜ,CVCCV
hërvad,korpe,FW,hervɒd,korpe,CVCCV
horol,korɜ,FU,horol,korɜ,CVCV
ház,kota,FU,haːz,kotɑ,CVCV
ho,ku,U,ho,ku,CV
holnap,kuδɜ,U,holnɒp,kuðɜ,CVCV
hamu,kuδ̕mɜ,Ug,hɒmu,kuðʲmɜ,CVCCV
háj,kuje,FU,haːj,kuje,CVCV
hall,kule,FU,hɒll,kule,CVCV
halad,kulke,U,hɒlɒd,kulke,CVCCV
holló,kulɜ,U,holloː,kulɜ,CVCV
homlok,kuma,U,homlok,kumɑ,CVCV
hab,kumpa,U,hɒb,kumpɑ,CVCCV
hó,kumɜ,U,hoː,kumɜ,CVCV
homály,kumɜ,FU,homaːj,kumɜ,CVCV
had,kunta,FU,hɒd,kuntɑ,CVCCV
hall,kuntalɜ,Ug,hɒll,kuntɑlɜ,CVCCVCV
joh,kunɜ,FU,joh,kunɜ,CVCV
huny,kuńa,U,huɲ,kunʲɑ,CVCV
hangya,kuńće,FU,hɒnɟɒ,kunʲt͡ʃʲe,CVCCV
húgy,kuńće,U,huːɟ,kunʲt͡ʃʲe,CVCCV
húgy,kuńćɜ,U,huːɟ,kunʲt͡ʃʲɜ,CVCCV
hó,kuŋe,U,hoː,kuŋe,CVCV
harmat,kura,U,hɒrmɒt,kurɑ,CVCV
hornyol,kurńa,FU,horɲol,kurnʲɑ,CVCCV
horó,kurɜ,FU,horoː,kurɜ,CVCV
harántos,kurɜ,U,hɒraːntoʃ,kurɜ,CVCV
harag,kurɜ,FU,hɒrɒɡ,kurɜ,CVCV
húsz,kuśɜ,FU,huːs,kuʃʲɜ,CVCV
hat,kutte,FU,hɒt,kutte,CVCCV
hát,kuttɜ,U,haːt,kuttɜ,CVCCV
küzd,kȣ̈śɜ,Ug,kyzd,k¨ʃʲɜ,CVCV
lapos,lappɜ,U,lɒpoʃ,lɑppɜ,CVCCV
lép,läppɜ,FU,leːp,læppɜ,CVCCV
lë,le,FU,le,le,CV
lé,leme,FU,leː,leme,CVCV
lep,leppɜ,FU,lɛp,leppɜ,CVCCV
lő,lewe,FU,løː,lewe,CVCV
lélëk,lewlɜ,FU,leːlek,lewlɜ,CVCCV
lök,likkä,FU,løk,likkæ,CVCCV
láng,lomɜ,FU,laːnɡ,lomɜ,CVCV
lágy,lońća,FU,laːɟ,lonʲt͡ʃʲɑ,CVCCV
lóg,loŋe,FU,loːɡ,loŋe,CVCV
lúd,lunta,FU,luːd,luntɑ,CVCCV
légy,lȣńćɜ,FU,leːɟ,lȣnʲt͡ʃʲɜ,CVCCV
láp,lȣppɜ,FU,laːp,lȣppɜ,CVCCV
lepke,lȣ̈ppɜ,U,lɛpkɛ,l¨ppɜ,CVCCV
levél,lȣ̈pɜ,Ug,lɛveːl,l¨pɜ,CVCV
máj,maksa,U,maːj,mɑksɑ,CVCCV
ment,mänɜ,FU,mɛnt,mænɜ,CVCV
messze,mećä,FU,mɛʃsɛ,met͡ʃʲæ,CVCV
méh,mekše,FU,meːh,mekʃe,CVCCV
mën,mene,U,men,mene,CVCV
méz,mete,FU,meːz,mete,CVCV
mëny,mińä,U,meɲ,minʲæ,CVCV
mënny,mińɜ,FU,menɲ,minʲɜ,CVCV
mëg,miŋä,FU,meɡ,miŋæ,CVCV
mëggy,moĺɜ,FU,meɡɟ,molʲɜ,CVCV
más,mu,FU,maːʃ,mu,CV
múl,mulɜ,FU,muːl,mulɜ,CVCV
mogyoró,muna,U,moɟoroː,munɑ,CVCV
mag,muŋkɜ,FU,mɒɡ,muŋkɜ,CVCCV
mar,mura,U,mɒr,murɑ,CVCV
mos,muśke,U,moʃ,muʃʲke,CVCCV
mál,mȣlɜ,FU,maːl,mȣlɜ,CVCV
mar,mȣrɜ,U,mɒr,mȣrɜ,CVCV
én,mȣ̈,U,eːn,m¨,CV
mi,mȣ̈,U,mi,m¨,CV
mi,mɜ,U,mi,mɜ,CV
néz,näke,FU,neːz,næke,CVCV
nyél,niδe,U,ɲeːl,niðe,CVCV
név,nime,U,neːv,nime,CVCV
nő,niŋä,U,nøː,niŋæ,CVCV
nyújt,nȣjɜ,FU,ɲuːjt,nȣjɜ,CVCV
nyelv,ńälmä,FU,ɲɛlv,nʲælmæ,CVCCV
nyel,ńele,U,ɲɛl,nʲele,CVCV
négy,ńeljä,FU,neːɟ,nʲeljæ,CVCCV
nyíl,ńɤle,U,ɲiːl,nʲɤle,CVCV
nyű,ńikɜ,U,ɲyː,nʲikɜ,CVCV
nyal,ńole,U,ɲɒl,nʲole,CVCV
nyúl,ńoma,U,ɲuːl,nʲomɑ,CVCV
nyirok,ńorɜ,U,ɲirok,nʲorɜ,CVCV
nyuszt,ńukśe,FU,ɲust,nʲukʃʲe,CVCCV
nyug,ńuŋɜ,FU,ɲuɡ,nʲuŋɜ,CVCV
nyír,ńȣ̈rɜ,Ug,ɲiːr,nʲ¨rɜ,CVCV
az,o,U,ɒz,o,V
ostor,oćtɜrɜ,Ug,oʃtor,ot͡ʃʲtɜrɜ,VCCVCV
al,oδa,FU,ɒl,oðɑ,VCV
álom,oδamɜ,FU,aːlom,oðɑmɜ,VCVCV
áll,olɜ,FW,aːll,olɜ,VCV
agyar,ońćarɜ,FU,ɒɟɒr,onʲt͡ʃʲɑrɜ,VCCVCV
ár,ora,FU,aːr,orɑ,VCV
árva,orpa,FU,aːrvɒ,orpɑ,VCCV
fal,paδɜ,FU,fɒl,pɑðɜ,CVCV
fajd,paδ̕tɜ,FU,fɒjd,pɑðʲtɜ,CVCCV
fagyal,pajɜ,U,fɒɟɒl,pɑjɜ,CVCV
fakad,pakka,FU,fɒkɒd,pɑkkɑ,CVCCV
fal,pala,U,fɒl,pɑlɑ,CVCV
falu,palγɜ,Ug,fɒlu,pɑlɣɜ,CVCCV
fagy,paĺa,FU,fɒɟ,pɑlʲɑ,CVCV
farag,parɜ,U,fɒrɒɡ,pɑrɜ,CVCV
fazék,pata,FU,fɒzeːk,pɑtɑ,CVCV
fëcske,päćkɜ,FU,fet͡ʃkɛ,pæt͡ʃʲkɜ,CVCCV
fesl,päčɜ,Ug,fɛʃl,pæt͡ʃɜ,CVCV
fél,pälä,U,feːl,pælæ,CVCV
fen,pänɜ,FU,fɛn,pænɜ,CVCV
fej,päŋe,U,fɛj,pæŋe,CVCV
fűz,pećɜ,FU,fyːz,pet͡ʃʲɜ,CVCV
fő,peje,U,føː,peje,CVCV
fél,pele,FU,feːl,pele,CVCV
fél,pele,U,feːl,pele,CVCV
figyel,peljä,FU,fiɟɛl,peljæ,CVCCV
fëd,pentɜ,FU,fed,pentɜ,CVCCV
férëg,perkɜ,FU,feːreɡ,perkɜ,CVCCV
bőr,perɜ,U,bøːr,perɜ,CVCV
fészëk,pesä,U,feːsek,pesæ,CVCV
fëlëtt,piδe,U,felett,piðe,CVCV
fëlhő,pilwe,FU,felhøː,pilwe,CVCCV
fog,piŋe,FU,foɡ,piŋe,CVCV
fogoly,piŋe,U,foɡoj,piŋe,CVCV
fiú,pojka,FU,fiuː,pojkɑ,CVCCV
bogyó,pola,FU,boɟoː,polɑ,CVCV
fos,pućka,FU,foʃ,put͡ʃʲkɑ,CVCCV
facsar,pućɜrɜ,FU,fɒt͡ʃɒr,put͡ʃʲɜrɜ,CVCVCV
fogy,pučɜ,FU,foɟ,put͡ʃɜ,CVCV
fut,pukta,U,fut,puktɑ,CVCCV
fan,puna,FU,fɒn,punɑ,CVCV
fon,puna,U,fon,punɑ,CVCV
bonyolód,puńa,FU,boɲoloːd,punʲɑ,CVCV
fúr,pura,U,fuːr,purɑ,CVCV
far,purɜ,Ug,fɒr,purɜ,CVCV
foszl,puśɜ,Ug,fosl,puʃʲɜ,CVCV
fa,puwɜ,U,fɒ,puwɜ,CVCV
fúj,puwɜ,U,fuːj,puwɜ,CVCV
fúl,puwɜ,FU,fuːl,puwɜ,CVCV
